"id","customer_id","month","name","age","ssn","occupation","annual_income","monthly_inhand_salary","num_bank_accounts","num_credit_card","interest_rate","num_of_loan","delay_from_due_date","num_of_delayed_payment","changed_credit_limit","num_credit_inquiries","credit_mix","outstanding_debt","credit_utilization_ratio","credit_history_age","payment_of_min_amount","total_emi_per_month","amount_invested_monthly","payment_behaviour","monthly_balance","target","year_month","proposal_end_date"
"0x1934b",CUS_0x912e,February,Shieldsi,28.8,"319-33-7118",Developer,83164.8,6942.4,4.0,5.0,9.0,4.0,19.0,14.0,17.9,11.0,"",544.54,32.340496,344,Yes,222.71606,95.8744,High_spent_Large_value_payments,615.64954,0,202402,""
"0x1580e",CUS_0x5247,May,Huw Jonesa,19.0,"984-58-2416",Doctor,38197.25,3191.1042,1.0,6.0,9.0,2.0,5.0,7.0,5.28,6.0,Good,898.75,38.43511,284,No,44.124664,106.75355,Low_spent_Medium_value_payments,448.2322,0,202405,""
"0x222d4",CUS_0x67c8,March,Lisa Juccae,36.0,"738-90-3259",Lawyer,36875.14,2845.9282,6.0,4.0,13.0,4.0,29.0,16.0,18.42,3.0,"",473.6,29.213034,190,Yes,109.89439,181.1004,High_spent_Small_value_payments,253.59804,0,202403,""
"0x231a2",CUS_0x474,January,Lefterisj,23.0,"341-99-7813",Media_Manager,58558.3,3093.745,3.0,2.0,10.0,0.0,5.0,2.0,11.8,3.0,Good,272.17,33.07228,200,No,0.0,415.99704,Low_spent_Large_value_payments,363.8888,0,202401,""
"0x1c576",CUS_0x58e5,May,"",29.0,"207-46-1927",Mechanic,20511.16,1922.2633,7.0,8.0,34.0,7.0,35.0,14.0,6.63,8.0,Bad,2438.68,35.38152,217,Yes,106.95347,97.83369,!@9#%8,277.43918,1,202405,""
"0x1b466",CUS_0x4401,May,"",39.0,"025-25-9650",Journalist,101230.32,7667.0205,4.0,6.0,6.0,4.0,17.0,12.0,15.34,5.0,Standard,366.33,35.80048,350,Yes,904.3645,727.0651,Low_spent_Medium_value_payments,82.795815,0,202405,""
"0xcec0",CUS_0x6891,March,Grazinag,20.0,"781-08-4133",Architect,132325.88,10961.156,6.0,5.0,8.0,2.0,29.0,11.0,3.43,1.0,Standard,554.27,32.60518,383,No,175.78952,464.017,High_spent_Medium_value_payments,706.30914,0,202403,""
"0x120eb",CUS_0x1d8d,February,Leahp,21.0,"306-63-6042",Developer,17137.57,1617.1309,8.0,22.0,473.0,9.0,26.0,17.0,19.45,12.0,Bad,3680.6,25.083735,106,Yes,119.53203,61.807167,Low_spent_Small_value_payments,270.37387,0,202402,""
"0x143da",CUS_0xbce,May,Adlerb,17.0,"186-94-9117",Architect,14099.52,1108.96,8.0,7.0,20.0,4.0,36.0,17.0,12.43,6.0,"",1288.65,38.553867,156,Yes,23.916464,23.271795,High_spent_Small_value_payments,323.70773,1,202405,""
"0x12ece",CUS_0x406e,May,Lucia Mutikanik,55.0,"178-31-4896",Journalist,22434.16,2060.5134,3.0,3.0,17.0,1.0,13.0,20.0,15.62,1.0,Standard,13.72,26.470215,219,Yes,17.040316,93.45575,High_spent_Small_value_payments,355.55527,0,202405,""
"0x1bc72",CUS_0x7672,January,Woodallg,33.0,"030-11-8911",Accountant,122332.04,10310.337,1.0,1.0,8.0,0.0,8.0,8.0,4.41,2.0,"",605.35,29.949682,213,No,0.0,351.6876,High_spent_Medium_value_payments,929.34607,0,202401,""
"0x11e63",CUS_0x98f5,February,Nerijusp,31.0,"078-09-2980",Accountant,30000.82,2213.0684,8.0,7.0,32.0,5.0,10.0,10.0,17.4,12.0,Standard,1395.17,35.8123,68,Yes,80.47769,57.42158,Low_spent_Large_value_payments,353.40756,1,202402,""
"0x1fe47",CUS_0xae89,June,Alisterg,20.0,#F%$D@*&8,Engineer,56141.26,4137.2407,8.0,4.0,11.0,1.0,12.0,18.0,22.38,10.0,Standard,932.69,33.815697,246,Yes,501.7442,258.948,Low_spent_Medium_value_payments,459.0491,0,202406,""
"0xc894",CUS_0xabf0,July,Soyounge,39.0,"831-41-5115",Manager,60656.23,5330.3774,10.0,8.0,17.0,6.0,41.0,21.0,21.38,9.0,Bad,3999.56,25.50654,10,Yes,245.61125,430.0971,Low_spent_Large_value_payments,127.329384,1,202407,""
"0xac02",CUS_0x33ef,January,Reijin,34.0,"863-69-9979",Lawyer,82277.8,6826.4834,8.0,9.0,32.0,7.0,34.8,16.0,17.71,7.0,Bad,2748.82,29.919506,219,Yes,479.1653,294.28613,High_spent_Medium_value_payments,321.32242,0,202401,""
"0x24886",CUS_0x6ffa,May,Karolina Tagarisr,36.0,"311-51-2069",Media_Manager,105450.66,3093.745,7.0,7.0,13.0,4.0,4.0,19.0,19.95,0.0,Standard,328.42,34.410473,320,Yes,187.41371,660.51166,!@9#%8,333.63013,0,202405,""
"0x18f13",CUS_0x32fb,February,"",52.0,"396-21-7163",Doctor,55877.54,4477.4614,4.0,5.0,11.0,1.0,24.0,14.0,10.38,3.0,Standard,592.24,31.424252,266,Yes,46.354927,457.27457,Low_spent_Medium_value_payments,224.11667,0,202402,""
"0x1f3e9",CUS_0x17e8,April,Koh Guii,35.0,"092-76-3178",Mechanic,102885.75,8543.8125,1.0,6.0,6.0,2.0,4.0,8.0,7.96,2.0,Good,624.01,28.29472,299,No,155.2422,131.0961,High_spent_Large_value_payments,808.04297,0,202404,""
"0x1c806",CUS_0x2d81,January,Alonso Soton,45.0,"168-27-5955",Developer,151854.56,9035.281,3.0,4.0,9.0,3.0,9.0,-1.0,5.42,2.0,Good,1205.6,37.773556,188,No,316.48172,135.92567,Low_spent_Medium_value_payments,801.5898,0,202401,""
"0x12ecc",CUS_0x406e,March,Lucia Mutikanik,54.0,"178-31-4896",Journalist,22434.16,2060.5134,3.0,3.0,17.0,1.0,10.0,22.0,15.62,1.0,Standard,13.72,29.254883,394,Yes,17.040316,136.87099,Low_spent_Large_value_payments,322.14005,0,202403,""
"0x2040d",CUS_0xa488,August,Lynn Adlere,28.0,#F%$D@*&8,Journalist,15335.919,1167.4292,8.0,3.0,20.0,2.0,11.0,11.0,22.16,6.0,Standard,1151.22,25.702133,184,Yes,19.619333,132.24362,Low_spent_Small_value_payments,254.87996,0,202408,""
"0x1b562",CUS_0x7eec,May,arbaraz,32.0,"614-46-1339",Engineer,32635.06,3093.745,8.0,6.0,31.0,6.0,47.0,23.0,-2.11,10.0,Bad,2779.34,33.576435,42,Yes,140.4593,53.64529,High_spent_Large_value_payments,341.35425,1,202405,""
"0x1bd04",CUS_0x7ace,March,Carolinev,46.0,"279-65-4803",Media_Manager,124847.49,10225.957,4.0,5.0,1.0,0.0,12.0,14.0,11.09,2.0,Good,75.19,41.75878,234,No,0.0,409.97153,High_spent_Medium_value_payments,862.6242,0,202403,""
"0x5d69",CUS_0xa8df,April,Praveenk,46.0,"601-67-5511",Writer,140276.8,5779.6206,5.0,3.0,5.0,4.0,10.0,18.0,8.22,2.0,Standard,817.22,42.347908,397,Yes,383.23846,213.28964,High_spent_Medium_value_payments,827.3452,0,202404,""
"0x782b",CUS_0x492e,February,Nadiaf,55.0,"748-90-2499",Entrepreneur,103620.54,8336.045,5.0,3.0,6.0,2.0,28.0,16.0,5.33,3.0,Standard,100.85,41.097946,254,No,103.22774,508.96643,Low_spent_Large_value_payments,491.41034,0,202402,""
"0x712f",CUS_0x7dac,February,Jenniferx,51.0,"121-57-6388",Teacher,22489.25,1643.1041,5.0,5.0,7.0,2.0,11.0,10.0,8.93,2.0,Good,1189.23,26.734825,204,No,34.01901,55.521355,High_spent_Medium_value_payments,324.77005,0,202402,""
"0x1f848",CUS_0xb646,July,Dimmockr,27.0,"565-33-6888",Developer,36685.74,3093.745,6.0,7.0,24.0,9.0,26.0,18.0,10.9,14.0,Bad,3524.86,32.30391,136,Yes,270.41278,111.390366,High_spent_Large_value_payments,218.65599,1,202407,""
"0x18856",CUS_0x8704,May,Daniel Basesv,30.0,"497-36-7729",Mechanic,76726.64,3093.745,6.0,6.0,3.0,3.0,19.0,10.0,9.61,1.0,"",103.86,26.908705,351,No,145.2291,152.29448,!@9#%8,552.3651,0,202405,""
"0x103c4",CUS_0x63f3,March,Soyoungs,34.0,"079-74-4911",Architect,14353.89,1285.1575,9.0,9.0,24.0,6.0,51.0,16.0,24.4,11.0,Bad,3259.17,23.534678,27,Yes,71.057976,30.347599,High_spent_Large_value_payments,267.11017,1,202403,""
"0x705d",CUS_0xa3ba,August,Baldwind,39.0,"039-16-1692",Scientist,60082.77,3093.745,8.0,5.0,15.0,6.0,52.0,17.0,20.68,7.0,"",3040.88,31.515707,82,Yes,21445.0,406.9775,Low_spent_Small_value_payments,236.29173,1,202408,""
"0x125d9",CUS_0x3525,April,Greg Roumeliotist,24.0,"746-59-7879",Journalist,20324.355,1703.6963,3.0,4.0,7.0,3.0,14.0,11.0,10.81,4.0,Good,1396.07,22.913055,390,No,36.933002,80.47183,Low_spent_Large_value_payments,322.96478,0,202404,""
"0x8ae2",CUS_0xad75,May,"",27.0,"164-86-6702",Teacher,14388.77,1060.0642,4.0,5.0,16.0,3.0,2.0,10.0,18.17,6.0,"",1836.93,34.063065,69,Yes,30.09507,95.38916,Low_spent_Small_value_payments,270.5222,1,202405,""
